Date,District,Type of Event,Question and Remarks
20180601,FATEHPUR,ACCIDENT,  Q: Can we take your valuable feedback on your registered event with UP100 P01061802155?   Ans: YES    Q: Are you satisfied with the immediate relief provided to address your issue?   Ans: Not Satisfied    Q: Please select the reason   Ans: PRV did not reach at the place of event.    Q: Do you want to share any additional feedback?   Ans: NO    Comment: Ans:    Remark: Ans: Caller Wait 01 Hrs_YES_ PRV.. (PRV Remarks)__ps kishanpur dwara btaya gya ki awask karwahi ki gyi l PRV No:- ___0052_....PRV ki call to aayi thi lekin police nahi aayi thi. Caller se police station par Vyavahaar achcha nahi hua aur unki koi sahayta nahi kari gai. caller ko daate the police  thane ke  
20180517,VARANASI,DOMESTIC VIOLENCE,  Q: Can we take your valuable feedback on your registered event with UP100 P17051811512?   Ans: YES    Q: Are you satisfied with the immediate relief provided to address your issue?   Ans: Not Satisfied    Q: Please select the reason   Ans: Others    Comment: Ans:    Remark: Ans:     UP 100 Ki police aayi to thi lekin unhone koi karyawahi nahi kari.    ----------------police ko caller ki pareshaani ko samjhna chahiye  
20180601,LUCKNOW,ACCIDENT,"  Q: Can we take your valuable feedback on your registered event with UP100 P01061803259?   Ans: YES    Q: Are you satisfied with the immediate relief provided to address your issue?   Ans: Not Satisfied    Q: Please select the reason   Ans: PRV did not reach at the place of event.    Q: Do you want to share any additional feedback?   Ans: NO    Comment: Ans:    Remark: Ans:   Caller Wait 7 Min_YES_,,,,..Caller Ghatanasthal par hi the lekin police nahi aayi thi.  "
20180601,GAUTAM B. NAGAR,ACCIDENT,  Q: Can we take your valuable feedback on your registered event with UP100 P01061805639?   Ans: YES    Q: Are you satisfied with the immediate relief provided to address your issue?   Ans: Not Satisfied    Q: Please select the reason   Ans: PRV did not reach at the place of event.    Q: Do you want to share any additional feedback?   Ans: NO    Comment: Ans:    Remark: Ans: Caller Wait 45  Min_NO_ PRV.. (PRV Remarks)Dispo code/s - 16 - Cleared PRV No:-1875 PRV ki koi call hi nahi aayi thi.  
20180601,LUCKNOW,ACCIDENT,  Q: Can we take your valuable feedback on your registered event with UP100 P01061806764?   Ans: YES    Q: Are you satisfied with the immediate relief provided to address your issue?   Ans: Not Satisfied    Q: Please select the reason   Ans: PRV did not reach at the place of event.    Q: Do you want to share any additional feedback?   Ans: NO    Comment: Ans:    Remark: Ans: PRV.. (lkw_dispol) : as per ps caller ko kai bar phone thane se kiya gya caller phone nhi utha rha hai )__ PRV ki koi call hi nahi aayi thi.Police nhi pahuchi thi Caller Wait 20 Min_NO_     
20180804,AGRA,THEFT,  Q: Can we take your valuable feedback on your registered event with UP100 P04081800177?   Ans: YES    Q: Are you satisfied with the immediate relief provided to address your issue?   Ans: Not Satisfied    Q: Please select the reason   Ans: Others    Comment: Ans:    Remark: Ans:    CALLER  NOT SATISFIED  100 NO. KI POLICE 25 MINUT BAAD PAHUCHI THI  
20180526,LUCKNOW,DOMESTIC VIOLENCE,"  Q: Can we take your valuable feedback on your registered event with UP100 P26051801887?   Ans: YES    Q: Are you satisfied with the immediate relief provided to address your issue?   Ans: Not Satisfied    Q: Please select the reason   Ans: Others    Comment: Ans:    Remark: Ans:    Caller ne kaha ki ""UP 100 Ki police aayi to thi lekin unhone koi karyawahi nahi kari.aur thane se bhi koi madad nahi mili hai ""  "
20180601,UNNAO,ACCIDENT,  Q: Can we take your valuable feedback on your registered event with UP100 P01061809811?   Ans: YES    Q: Are you satisfied with the immediate relief provided to address your issue?   Ans: Not Satisfied    Q: Please select the reason   Ans: PRV did not reach at the place of event.    Q: Do you want to share any additional feedback?   Ans: NO    Comment: Ans:    Remark: Ans: YES_  caller  ne  bataya  ki   police  nahi  aai  or   unka  phone  aaya tha  lekin  hame  koi sahayata  nahi  mili   
20180608,SANT RAVI DAS NAGAR,THREAT IN PERSON,"  Q: Can we take your valuable feedback on your registered event with UP100 P08061810882?   Ans: YES    Q: Are you satisfied with the immediate relief provided to address your issue?   Ans: Not Satisfied    Q: Please select the reason   Ans: Others    Comment: Ans:    Remark: Ans:    Caller ne kaha ki"" UP 100 Ki police aayi to thi lekin unhone koi karyawahi nahi kari.""  "
20180601,SAMBHAL,ACCIDENT,"  Q: Can we take your valuable feedback on your registered event with UP100 P01061811609?   Ans: YES    Q: Are you satisfied with the immediate relief provided to address your issue?   Ans: Not Satisfied    Q: Please select the reason   Ans: Misbehaviour by the PRV staff.    Q: Do you want to share any additional feedback?   Ans: NO    Comment: Ans:    Remark: Ans: PRV- 100 no ki  police mauke par aai thi lakin caller ki koi madad nhi ki thi .........ulta  police  caller ko hi  gaali de rhe the or pakad ke le gye the ,,or caller ko mara  bhi tha ,,,,,gaadi no 2622 ,,,,,caller santust  nhi hai   "
20180601,SHAHJAHANPUR,ACCIDENT,  Q: Can we take your valuable feedback on your registered event with UP100 P01061812997?   Ans: YES    Q: Are you satisfied with the immediate relief provided to address your issue?   Ans: Not Satisfied    Q: Please select the reason   Ans: PRV staff asked the caller to go to police station on phone.    Q: Do you want to share any additional feedback?   Ans: NO    Comment: Ans:    Remark: Ans: PRV  police time se  pahoch gayi thi lekin caller ki koi help nhi ho payi h caller santust nhi h thane me jane ko kaha tha  
